POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
6.846733668341709045e-01,3.521998797968514117e-01,3.414124201006513704e-01,3.337040342763267775e-01,3.281958596281674967e-01,3.242598879933690781e-01
6.895979899497487464e-01,3.532927633470228090e-01,3.421933609618947325e-01,3.342620705178493967e-01,3.285946151067282162e-01,3.245448263537313305e-01
6.945226130653266994e-01,3.543932164993412459e-01,3.429797108272530370e-01,3.348239718668039044e-01,3.289961324717919910e-01,3.248317382729636327e-01
6.994472361809045413e-01,3.555015636102709653e-01,3.437717014718466579e-01,3.353899039425393691e-01,3.294005300698351069e-01,3.251207083178059842e-01
7.043718592964824943e-01,3.566181423721146992e-01,3.445695742001749218e-01,3.359600391738049585e-01,3.298079311131209002e-01,3.254118245319398417e-01
7.092964824120603362e-01,3.577433047315338177e-01,3.453735805024617522e-01,3.365345572677542196e-01,3.302184640148360661e-01,3.257051786754658340e-01
7.142211055276381781e-01,3.588774178825747119e-01,3.461839827642420042e-01,3.371136457169938150e-01,3.306322627514117762e-01,3.260008664838075498e-01
7.191457286432161311e-01,3.600208653418766058e-01,3.470010550346717126e-01,3.376975003485941929e-01,3.310494672548297546e-01,3.262989879480410749e-01
7.240703517587939730e-01,3.611740481146634707e-01,3.478250838597097827e-01,3.382863259194555661e-01,3.314702238380525801e-01,3.265996476188947062e-01
7.289949748743719260e-01,3.623373859611854764e-01,3.486563691870783188e-01,3.388803367629643071e-01,3.318946856571044490e-01,3.269029549369372734e-01
7.339195979899497679e-01,3.635113187744882790e-01,3.494952253507737083e-01,3.394797574924947603e-01,3.323230132137716675e-01,3.272090245917925189e-01
7.388442211055277209e-01,3.646963080817839375e-01,3.503419821439000548e-01,3.400848237680225150e-01,3.327553749034007913e-01,3.275179769135789232e-01
7.437688442211055628e-01,3.658928386832958068e-01,3.511969859897372537e-01,3.406957831329336384e-01,3.331919476128569202e-01,3.278299383001919698e-01
7.486934673366834048e-01,3.671014204443017737e-01,3.520606012222796677e-01,3.413128959290580022e-01,3.336329173743782239e-01,3.281450416845285156e-01
7.536180904522613577e-01,3.683225902582308864e-01,3.529332114890044725e-01,3.419364362990443551e-01,3.340784800818422107e-01,3.284634270463085981e-01
7.585427135678391997e-01,3.695569142011465025e-01,3.538152212903988292e-01,3.425666932864589453e-01,3.345288422768620262e-01,3.287852419737956611e-01
7.634673366834171526e-01,3.708049899008242223e-01,3.547070576728298397e-01,3.432039720454581611e-01,3.349842220131815096e-01,3.291106422814664700e-01
7.683919597989949946e-01,3.720674491469859735e-01,3.556091720937373801e-01,3.438485951735976154e-01,3.354448498090593089e-01,3.294397926905553997e-01
7.733165829145729475e-01,3.733449607731740283e-01,3.565220424809321109e-01,3.445009041833431152e-01,3.359109696987653826e-01,3.297728675804214027e-01
7.782412060301507895e-01,3.746382338453458916e-01,3.574461755110673322e-01,3.451612611301962397e-01,3.363828403959889801e-01,3.301100518198836209e-01
7.831658291457286314e-01,3.759480211976865549e-01,3.583821091362208722e-01,3.458300504181121005e-01,3.368607365839345613e-01,3.304515416890838608e-01
7.880904522613065843e-01,3.772751233625241118e-01,3.593304153920919841e-01,3.465076808061496316e-01,3.373449503492124135e-01,3.307975459041008204e-01
7.930150753768844263e-01,3.786203929488137221e-01,3.602917035267306778e-01,3.471945876441654977e-01,3.378357927793962379e-01,3.311482867585152090e-01
7.979396984924623792e-01,3.799847395326671484e-01,3.612666234951590338e-01,3.478912353699624149e-01,3.383335957474085109e-01,3.315040013984766887e-01
8.028643216080402212e-01,3.813691351341692570e-01,3.622558698729355653e-01,3.485981203058017286e-01,3.388387139098218426e-01,3.318649432506281527e-01
8.077889447236181741e-01,3.827746203676364312e-01,3.632601862509399204e-01,3.493157737987804823e-01,3.393515269508757259e-01,3.322313836256110542e-01
8.127135678391960161e-01,3.842023113680185786e-01,3.642803701847661668e-01,3.500447657575156968e-01,3.398724421096818715e-01,3.326036135239282543e-01
8.176381909547738580e-01,3.856534076149645274e-01,3.653172787855583636e-01,3.507857086471825037e-01,3.404018970349553252e-01,3.329819456758466578e-01
8.225628140703518110e-01,3.871292007989404205e-01,3.663718350554651670e-01,3.515392620166347681e-01,3.409403630199549506e-01,3.333667168529861891e-01
8.274874371859296529e-01,3.886310849017364233e-01,3.674450350908589624e-01,3.523061376456031457e-01,3.414883486805124213e-01,3.337582904965255004e-01
8.324120603015076059e-01,3.901605676980184345e-01,3.685379563009898440e-01,3.530871054174914980e-01,3.420464041515515197e-01,3.341570597159053135e-01
8.373366834170854478e-01,3.917192839269667548e-01,3.696517668200318685e-01,3.538830000449348367e-01,3.426151258929641119e-01,3.345634507229589549e-01
8.422613065326634008e-01,3.933090104356994909e-01,3.707877363281066319e-01,3.546947288021688460e-01,3.431951622149225778e-01,3.349779267801304972e-01
