POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
9.864321608040201028e-02,2.289190444962574678e-01,2.585887953536086248e-01,2.793948978118654392e-01,2.937846750001428808e-01,3.037353023509345440e-01
1.035678391959798939e-01,2.309436568327522532e-01,2.599842590060956748e-01,2.803532226615254586e-01,2.944468266730695394e-01,3.041980631691912351e-01
1.084924623115577913e-01,2.329028613766734312e-01,2.613352647173897148e-01,2.812816167473019546e-01,2.950887854207892569e-01,3.046470442384408006e-01
1.134170854271356749e-01,2.348022704333361799e-01,2.626456370135681895e-01,2.821826608825330762e-01,2.957122926899422577e-01,3.050834301200527343e-01
1.183417085427135723e-01,2.366468106900448398e-01,2.639187336785377980e-01,2.830586212966855197e-01,2.963188779908679238e-01,3.055082615576778515e-01
1.232663316582914559e-01,2.384408320295554606e-01,2.651575198094227037e-01,2.839114995238657957e-01,2.969098924781926607e-01,3.059224582316939500e-01
1.281909547738693533e-01,2.401881954628231342e-01,2.663646276647895772e-01,2.847430727246982873e-01,2.974865360967900441e-01,3.063268371585764482e-01
1.331155778894472508e-01,2.418923448290857814e-01,2.675424054675617502e-01,2.855549265699197092e-01,2.980498797238403941e-01,3.067221277026532800e-01
1.380402010050251482e-01,2.435563657445148078e-01,2.686929575308770191e-01,2.863484822799972629e-01,2.986008833788853511e-01,3.071089839252458265e-01
1.429648241206030179e-01,2.451830344375915405e-01,2.698181775017082784e-01,2.871250190291473880e-01,2.991404113144318089e-01,3.074879948209143232e-01
1.478894472361809154e-01,2.467748584922429267e-01,2.709197760972896774e-01,2.878856926396011762e-01,2.996692446097627416e-01,3.078596928621560314e-01
1.528140703517588128e-01,2.483341110625870707e-01,2.719993043983970349e-01,2.886315512826184704e-01,3.001880917498958024e-01,3.082245611787536865e-01
1.577386934673367103e-01,2.498628597806667739e-01,2.730581735305502855e-01,2.893635487459235156e-01,3.006975975661922429e-01,3.085830396266641684e-01
1.626633165829145800e-01,2.513629913193450860e-01,2.740976713878712223e-01,2.900825557085112694e-01,3.011983508352933936e-01,3.089355299473367511e-01
1.675879396984924774e-01,2.528362323744691720e-01,2.751189769195703794e-01,2.907893693730526641e-01,3.016908907720518007e-01,3.092824001770729248e-01
1.725125628140703749e-01,2.542841676776940174e-01,2.761231723951379502e-01,2.914847217361585252e-01,3.021757126050690911e-01,3.096239884341960846e-01
1.774371859296482445e-01,2.557082555326246620e-01,2.771112539835247079e-01,2.921692867223674717e-01,3.026532723868629593e-01,3.099606061870314733e-01
1.823618090452261420e-01,2.571098412738925254e-01,2.780841409182895907e-01,2.928436863650842881e-01,3.031239911620027816e-01,3.102925410862810152e-01
1.872864321608040394e-01,2.584901689753328347e-01,2.790426834707128712e-01,2.935084961840381257e-01,3.035882585939073675e-01,3.106200594300431161e-01
1.922110552763819369e-01,2.598503916750473652e-01,2.799876699131437219e-01,2.941642498820694618e-01,3.040464361329952014e-01,3.109434083175336427e-01
1.971356783919598066e-01,2.611915803384199375e-01,2.809198326230595288e-01,2.948114434626428748e-01,3.044988597944635611e-01,3.112628175378041040e-01
2.020603015075377040e-01,2.625147317425448601e-01,2.818398534527216670e-01,2.954505388522416509e-01,3.049458426023743951e-01,3.115785012318918468e-01
2.069849246231156015e-01,2.638207754350729295e-01,2.827483684685848653e-01,2.960819670978369067e-01,3.053876767473224230e-01,3.118906593604695576e-01
2.119095477386934712e-01,2.651105798956812643e-01,2.836459721477400664e-01,2.967061311982557847e-01,3.058246354973097603e-01,3.121994790038732925e-01
2.168341708542713686e-01,2.663849580080722146e-01,2.845332211048524074e-01,2.973234086189608383e-01,3.062569748951833315e-01,3.125051355171421519e-01
2.217587939698492661e-01,2.676446719337082780e-01,2.854106374116924805e-01,2.979341535320980672e-01,3.066849352708341803e-01,3.128077935592056269e-01
2.266834170854271635e-01,2.688904374646857165e-01,2.862787115619602196e-01,2.985386988173380218e-01,3.071087425920968617e-01,3.131076080124651217e-01
